date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-09-11,BANKNIFTY,ORB,CALL,NEUTRAL,-0.115,10:30:00,10:35:00,51357.1,426.73,51216.54,1,15,15,481.67,-854.07,-896.24,-14.03,Hard close (14:30),7
2024-09-12,BANKNIFTY,VWAP,PUT,BULLISH,0.345,12:20:00,12:25:00,51139.6,393.4,51202.45,1,15,15,567.7,-2644.44,-2686.99,-45.65,Hard close (14:30),6
2024-09-18,BANKNIFTY,ORB,CALL,NEUTRAL,0.062,10:40:00,10:45:00,52682.9,437.75,52361.96,1,15,15,320.53,1728.31,1686.86,25.75,Hard close (14:30),7
2024-09-20,BANKNIFTY,ORB,CALL,BULLISH,0.359,10:35:00,10:40:00,53507.8,375.76,53231.57,1,15,15,369.21,68.24,26.57,0.47,Hard close (14:30),5
2024-09-23,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.036,11:45:00,11:50:00,53899.05,239.39,53970.2,1,15,15,321.0,-1254.16,-1295.61,-36.23,Hard close (14:30),2
2024-10-04,BANKNIFTY,ORB,CALL,BEARISH,-0.419,10:40:00,10:45:00,52043.7,365.48,51873.04,1,15,15,559.12,-2934.63,-2977.15,-54.45,Short SL,5
2024-10-07,BANKNIFTY,ORB,PUT,NEUTRAL,-0.024,10:45:00,10:50:00,51247.1,227.61,51573.93,1,15,15,354.23,-1929.23,-1970.83,-57.98,Short SL,2
2024-10-07,BANKNIFTY,ORB,PUT,NEUTRAL,-0.024,11:50:00,11:55:00,51018.95,226.6,51573.93,1,15,15,65.05,2393.3,2353.01,69.53,Short TP,2
2024-10-08,BANKNIFTY,SMC,PUT,NEUTRAL,0.234,13:40:00,13:45:00,51084.65,160.43,51181.28,2,15,30,149.68,262.48,221.12,4.62,Hard close (14:30),1
2024-10-09,BANKNIFTY,ORB,CALL,NEUTRAL,0.168,10:35:00,10:40:00,51557.45,428.4,51133.79,1,15,15,560.87,-2017.03,-2059.55,-32.13,Hard close (14:30),7
2024-10-11,BANKNIFTY,ORB,PUT,NEUTRAL,-0.081,11:15:00,11:20:00,51117.4,358.97,51358.82,1,15,15,325.28,475.41,433.94,8.08,Hard close (14:30),5
2024-10-15,BANKNIFTY,VWAP,CALL,NEUTRAL,0.187,10:35:00,10:40:00,51920.0,163.06,51839.6,1,15,15,250.96,-1348.54,-1389.68,-57.17,Short SL,1
2024-10-17,BANKNIFTY,ORB,PUT,NEUTRAL,0.102,11:25:00,11:30:00,51184.75,393.75,51607.5,1,15,15,375.9,237.8,196.1,3.33,Hard close (14:30),6
2024-10-21,BANKNIFTY,SMC,CALL,BULLISH,0.427,12:15:00,12:20:00,51978.8,230.86,51888.26,1,15,15,176.0,792.97,752.17,21.82,Hard close (14:30),2
2024-10-22,BANKNIFTY,ORB,PUT,BULLISH,0.417,11:20:00,11:25:00,51806.9,162.7,51935.86,1,15,15,20.48,2103.35,2063.26,85.07,Short TP,1
2024-10-24,BANKNIFTY,ORB,CALL,NEUTRAL,0.06,10:30:00,10:35:00,51764.75,398.21,51406.85,1,15,15,425.45,-438.65,-480.57,-8.07,Hard close (14:30),6
2024-10-25,BANKNIFTY,ORB,PUT,BEARISH,-0.38,11:15:00,11:20:00,50689.8,355.97,51171.81,1,15,15,190.2,2456.48,2415.62,45.37,Hard close (14:30),5
2024-10-28,BANKNIFTY,VWAP,PUT,BULLISH,0.406,11:00:00,11:05:00,51334.1,228.0,51467.85,1,15,15,169.63,845.59,804.82,23.64,Hard close (14:30),2
2024-10-29,BANKNIFTY,SMC,PUT,NEUTRAL,0.148,12:50:00,12:55:00,51814.65,162.73,51863.28,2,15,30,316.67,-4678.24,-4721.1,-97.3,Short SL,1
2024-11-04,BANKNIFTY,ORB,PUT,NEUTRAL,0.173,11:10:00,11:15:00,51121.55,227.05,51435.96,1,15,15,221.31,56.07,15.07,0.44,Hard close (14:30),2
2024-11-05,BANKNIFTY,VWAP,PUT,BEARISH,-0.341,10:35:00,10:40:00,51114.4,160.53,51253.7,1,15,15,263.91,-1580.66,-1621.85,-67.78,Short SL,1
2024-11-06,BANKNIFTY,VWAP,CALL,BULLISH,0.642,11:30:00,11:35:00,52387.15,435.29,52324.3,1,15,15,388.95,665.17,623.42,9.57,Hard close (14:30),7
2024-11-07,BANKNIFTY,SMC,PUT,NEUTRAL,-0.24,13:15:00,13:20:00,51999.6,400.02,52083.9,1,15,15,315.03,1244.83,1203.41,20.11,Hard close (14:30),6
2024-11-08,BANKNIFTY,ORB,PUT,NEUTRAL,-0.044,11:55:00,12:00:00,51524.5,361.83,51703.4,1,15,15,306.7,796.99,755.61,13.96,Hard close (14:30),5
2024-11-11,BANKNIFTY,ORB,CALL,NEUTRAL,0.059,10:35:00,10:40:00,51887.45,230.45,51530.56,1,15,15,200.12,424.97,384.07,11.16,Hard close (14:30),2
2024-11-12,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.466,10:00:00,10:05:00,51928.05,163.08,52266.05,1,15,15,44.2,1753.2,1713.0,70.46,Short TP,1
